,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
111,Birhanu Dare,Kemal,25-29,ETH,212,13,2:18:24,8304,2014,M
112,Micah,Kogo,25-29,KEN,10,14,2:18:36,8316,2014,M
113,Danilo,Goffi,40-44,ITA,40,15,2:19:44,8384,2014,M
114,Stephan,Shay,25-29,USA,20,16,2:19:47,8387,2014,M
115,Michael,Kipyego,30-34,KEN,9,17,2:20:00,8400,2014,M
116,Negash Abebe,Duki,20-24,ETH,200,18,2:20:15,8415,2014,M
117,Harbert,Okuti,25-29,UGA,34,19,2:22:34,8554,2014,M
118,Aron,Rono,30-34,USA,36,20,2:23:30,8610,2014,M
119,Craig,Hopkins,25-29,GBR,27,21,2:23:49,8629,2014,M
120,Zach,Hine,25-29,USA,26,22,2:24:10,8650,2014,M
121,Lars,Budolfsen,30-34,DEN,23,23,2:24:40,8680,2014,M
122,Teklu Tefera,Deneke,35-39,ETH,29,24,2:25:07,8707,2014,M
123,Lee,Troop,40-44,AUS,41,26,2:25:09,8709,2014,M
124,Alex,Varner,25-29,USA,246,28,2:25:45,8745,2014,M
125,Gian Luca,Borghesi,35-39,ITA,206,29,2:25:49,8749,2014,M
126,James,Kelly,30-34,GBR,33,30,2:25:56,8756,2014,M
127,Jerry,Faulkner,30-34,USA,215,33,2:26:31,8791,2014,M
128,Nick,End,30-34,USA,30,34,2:26:52,8812,2014,M
129,Oz,Pearlman,30-34,USA,234,35,2:26:59,8819,2014,M
130,Craig,Curley,25-29,USA,25,36,2:27:33,8853,2014,M
131,Denis,Curzi,35-39,ITA,28,37,2:27:35,8855,2014,M
132,Frank,Bollen,30-34,BEL,22,38,2:28:00,8880,2014,M
133,Nils,Schallner,30-34,GER,239,39,2:28:06,8886,2014,M
134,Luke,Puskedra,20-24,USA,17,42,2:28:54,8934,2014,M
135,Nelson,Cruz,35-39,POR,1028,43,2:29:19,8959,2014,M
136,Jaakko,Nieminen,25-29,FIN,296,45,2:29:29,8969,2014,M
137,Chris,Siemers,30-34,USA,32,46,2:30:04,9004,2014,M
138,Max,Haines-Stiles,25-29,USA,217,47,2:30:31,9031,2014,M
139,Abel Villanueva,Taipe,30-34,PER,38,48,2:30:33,9033,2014,M
