,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender
202,Dibaba,Birhane,20-24,ETH,102,40,02:24:24,8664.0,2015,F
203,Fukushi,Kayoko,30-34,JPN,108,41,02:24:25,8665.0,2015,F
204,Seboka,Mulu,30-34,ETH,105,44,02:24:40,8680.0,2015,F
205,Assefa,Meskerem,30-34,ETH,109,48,02:25:11,8711.0,2015,F
206,Kastor,Deena,40-44,USA,103,67,02:27:47,8867.0,2015,F
207,Nukuri,Diane,30-34,BDI,110,76,02:29:13,8953.0,2015,F
208,Draskau Petersson,Jessica,35-39,DEN,113,80,02:30:07,9007.0,2015,F
209,Hall,Sara,30-34,USA,120,90,02:31:14,9074.0,2015,F
210,Partridge,Susan,35-39,GBR,112,94,02:31:31,9091.0,2015,F
211,Crouch,Sarah,25-29,USA,117,106,02:32:51,9171.0,2015,F
212,Britton,Fionnuala,30-34,IRL,115,112,02:33:15,9195.0,2015,F
213,Juodeskaite,Monika,20-24,LTU,124,126,02:34:29,9269.0,2015,F
214,Arenas,Maritza,25-29,MEX,3023,166,02:38:21,9501.0,2015,F
215,Moody,Tera,30-34,USA,114,181,02:39:32,9572.0,2015,F
216,Hyland,Rachel,25-29,USA,189,201,02:41:26,9686.0,2015,F
217,Harnish,Laura,25-29,USA,168,206,02:42:09,9729.0,2015,F
218,Moeller,Erin,35-39,USA,339,215,02:42:27,9747.0,2015,F
219,Kersjes,Lauren,20-24,USA,324,259,02:44:28,9868.0,2015,F
220,Calle,Maria Elena,40-44,ECU,345,262,02:44:33,9873.0,2015,F
221,Pineda,Yolymar,25-29,VEN,185,273,02:44:52,9892.0,2015,F
222,Ward,Taylor,25-29,USA,119,277,02:45:01,9901.0,2015,F
223,Bernardi,Alexandra,25-29,USA,328,294,02:45:50,9950.0,2015,F
224,Schaper,Marie,25-29,USA,402,295,02:45:54,9954.0,2015,F
225,Schiemann,Katie,25-29,USA,332,297,02:46:01,9961.0,2015,F
226,Fulton,Naomi,25-29,USA,197,304,02:46:25,9985.0,2015,F
227,Ueno,Eiko,40-44,JPN,126,311,02:46:39,9999.0,2015,F
228,Njeim,Chirine,30-34,LBN,337,312,02:46:41,10001.0,2015,F
229,Wrenn,Bean,40-44,USA,353,315,02:46:47,10007.0,2015,F
230,Moats,Joy,35-39,USA,360,319,02:46:52,10012.0,2015,F
231,Quinn,Julianne,25-29,USA,346,322,02:47:05,10025.0,2015,F
232,Overbeck Crawford,Christina,25-29,USA,358,323,02:47:06,10026.0,2015,F
233,Ortiz,Angela,35-39,USA,323,331,02:47:22,10042.0,2015,F
234,Smith,Makenna,20-24,USA,198,333,02:47:28,10048.0,2015,F
235,Scott,Amanda,25-29,USA,362,335,02:47:29,10049.0,2015,F
236,Rediger,Andrea,25-29,USA,299,337,02:47:31,10051.0,2015,F
237,Selert,Kir,25-29,USA,392,344,02:47:41,10061.0,2015,F
238,Berry,Jennifer,30-34,USA,311,351,02:47:51,10071.0,2015,F
239,Harper,Jessica,20-24,CAN,303,359,02:48:12,10092.0,2015,F
240,Hughes,Jennifer,35-39,USA,186,360,02:48:12,10092.0,2015,F
241,Foster,Megan,35-39,USA,184,370,02:48:33,10113.0,2015,F
242,Wilson,Nicole,25-29,USA,291,371,02:48:51,10131.0,2015,F
243,Woodruff,Julie,25-29,USA,5188,380,02:49:13,10153.0,2015,F
244,Davis,Lyndy,25-29,USA,175,382,02:49:19,10159.0,2015,F
245,Snyder,Kati,30-34,USA,5078,391,02:49:37,10177.0,2015,F
246,Grunnagle,Dawn,35-39,USA,121,394,02:49:43,10183.0,2015,F
247,Passerat De Silans,Melissandre,35-39,FRA,355,400,02:49:57,10197.0,2015,F
248,Olsen,Courtney,25-29,USA,173,407,02:50:07,10207.0,2015,F
249,Mendez,Allison,25-29,USA,122,410,02:50:11,10211.0,2015,F
250,Richardson,Janae,30-34,USA,354,426,02:50:37,10237.0,2015,F
251,Perkins,Lauren,30-34,USA,191,438,02:50:53,10253.0,2015,F
252,Bartolacci,Gina,25-29,USA,397,449,02:51:13,10273.0,2015,F
253,Jameson,Emily,35-39,USA,292,450,02:51:14,10274.0,2015,F
254,Wilson,Stephanie,25-29,USA,181,458,02:51:38,10298.0,2015,F
255,Parks,Michelle,30-34,USA,164,466,02:51:56,10316.0,2015,F
256,Cieslak,Kylen,25-29,USA,331,471,02:52:08,10328.0,2015,F
257,Stephan,Faith,25-29,USA,297,486,02:52:27,10347.0,2015,F
258,Firth,Charlotte,30-34,GBR,333,499,02:52:43,10363.0,2015,F
259,Suing,Shannon,35-39,USA,157,507,02:52:52,10372.0,2015,F
260,Pierret,Lindsey,25-29,USA,365,513,02:53:00,10380.0,2015,F
261,Kromrey,Loryn,30-34,USA,170,531,02:53:17,10397.0,2015,F
262,Sessions,Jasmine,30-34,USA,171,537,02:53:31,10411.0,2015,F
263,Hodge,Brenda,40-44,USA,371,539,02:53:32,10412.0,2015,F
264,Panke,Elizabeth,25-29,USA,165,541,02:53:33,10413.0,2015,F
265,Kurian,Emily,30-34,USA,438,565,02:54:02,10442.0,2015,F
266,Crutchfield,Julie,30-34,USA,153,566,02:54:02,10442.0,2015,F
267,Guinn,Julee,30-34,USA,180,568,02:54:06,10446.0,2015,F
268,Fardell,Jane,35-39,AUS,167,571,02:54:10,10450.0,2015,F
269,Pelchat,Marianne,35-39,CAN,387,578,02:54:24,10464.0,2015,F
270,Cunningham,Melissa,30-34,USA,386,590,02:54:49,10489.0,2015,F
271,Morimoto,Tania,25-29,USA,159,605,02:55:08,10508.0,2015,F
272,Ballas,Elissa,35-39,USA,376,610,02:55:11,10511.0,2015,F
273,Manuel,Lauren,30-34,USA,347,623,02:55:22,10522.0,2015,F
274,Moore,Katherine,35-39,CAN,163,630,02:55:27,10527.0,2015,F
275,Glasheen,Adrienne,35-39,USA,310,631,02:55:31,10531.0,2015,F
276,Busman,Meredith,20-24,USA,176,636,02:55:36,10536.0,2015,F
277,Manley,Pamela,35-39,USA,293,646,02:55:47,10547.0,2015,F
278,Neeper,Kathryn,30-34,USA,334,648,02:55:49,10549.0,2015,F
279,Zacher,Tere,40-44,USA,192,653,02:55:56,10556.0,2015,F
280,Teunissen,Shannon,30-34,USA,5200,654,02:56:02,10562.0,2015,F
